Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2004-04-06,392.893,392.893,376.331,376.331,690.63494011719
2004-04-07,380.089,395.15,380.089,395.15,261.35138635675
2004-04-08,395.15,398.9,391.373,391.373,283.59405753605
2004-04-13,391.373,398.9,391.373,397.399,373.6768758122
2004-04-14,391.373,398.53,391.373,391.373,173.49283519852
2004-04-15,392.498,398.53,392.498,398.53,36.700407445841
2004-04-16,398.9,398.9,391.373,398.53,179.05350299335
2004-04-19,398.53,398.9,391.373,398.9,10098.172715401
2004-04-20,398.9,398.9,395.15,395.15,77.849349127541
2004-04-21,391.373,391.373,378.587,388.371,558.29104660037
2004-04-22,389.126,389.891,383.093,383.093,74.512948450646
2004-04-23,391.373,392.893,390.636,391.373,165.70790028576
2004-04-26,394.773,397.399,391.373,391.373,4054.838955986
2004-04-27,391.373,395.15,391.373,395.15,47.821743035489
2004-04-28,395.15,399.278,395.15,398.9,3824.6273092802
2004-04-29,396.274,400.788,395.15,395.15,986.46246680184
2004-04-30,398.9,398.9,391.373,391.373,83.410016922365
2004-05-04,391.373,391.373,388.371,391.373,34.476140327911
2004-05-05,391.373,395.15,391.373,395.15,126.783225722
2004-05-06,391.373,391.373,387.994,387.994,71.176547773752
2004-05-07,391.373,391.373,381.591,387.616,433.7320879963
2004-05-10,382.346,382.346,377.815,377.815,182.38990367024
2004-05-11,381.591,383.847,377.815,377.815,253.566451444
2004-05-12,387.616,387.616,377.077,387.229,355.88273886876
2004-05-13,383.093,383.093,378.587,378.587,38.924674563771
2004-05-14,383.093,391.373,383.093,391.373,65.615879978928
2004-05-17,391.373,395.15,391.373,393.63,62.279479302033
2004-05-18,393.63,393.63,392.893,393.63,1372.3728117627
2004-05-19,391.373,405.68,391.373,395.15,886.370446495
2004-05-20,387.616,391.373,384.613,387.616,167.9321674037
2004-05-21,392.893,392.893,391.373,391.373,613.89772454861
2004-05-24,398.9,398.9,395.15,395.15,133.45602707579
2004-05-25,398.53,400.419,395.15,400.419,939.75285732531
2004-05-26,401.165,404.943,399.665,399.665,2032.9801457878
2004-05-27,404.547,404.547,402.677,404.169,234.66018094159
2004-05-28,399.278,403.8,398.9,403.8,51.158143712384
2004-06-01,395.15,397.399,390.636,397.399,193.51123925989
2004-06-02,397.399,406.058,397.399,403.422,130.11962639889
2004-06-03,405.68,413.575,405.68,406.435,571.63664930794
2004-06-04,411.704,412.837,391.373,391.373,1000.9202030684
2004-06-07,394.387,410.58,393.63,393.63,166.82003384473
2004-06-08,401.165,413.206,401.165,401.165,155.69869825508
2004-06-09,401.534,401.534,395.897,396.643,224.65097891091
2004-06-11,395.897,413.206,395.897,402.677,382.57394428392
2004-06-14,398.9,398.9,397.399,397.399,25.579071856192
2004-06-15,397.399,397.399,395.15,395.15,35.588273886876
2004-06-16,399.665,399.665,399.665,399.665,31.139739651016
2004-06-17,396.643,403.422,391.373,391.373,149.0258969013
2004-06-18,392.148,401.165,391.373,398.9,41.148941681701
2004-06-21,398.9,398.9,398.9,398.9,35.588273886876
2004-06-22,395.519,395.519,395.15,395.15,31.139739651016
2004-06-23,398.9,398.9,396.643,396.643,199.07190705471
2004-06-24,398.9,399.278,398.53,399.278,276.92125618226
2004-06-25,400.788,400.788,399.278,399.278,140.12882842957
2004-06-28,398.9,398.9,392.148,393.63,668.39226893789
2004-06-29,395.15,395.15,392.498,392.498,51.158143712384
