Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2024-11-12,59.58,60.26,58.5,58.64,4011001
2024-11-13,58.7,58.7,57.04,57.3,2300215
2024-11-14,57.52,59.34,57.32,59.12,7618326
2024-11-15,59.04,59.04,56.3,56.38,2983800
2024-11-18,56.38,57.3,55.24,55.9,2436992
2024-11-19,55.9,56.18,52.32,53.9,6239806
2024-11-20,54.18,54.86,53.48,53.94,1783211
2024-11-21,54.3,54.68,53,54.22,2250567
2024-11-22,54,54.62,52.82,54.36,1819341
2024-11-25,54.78,55.08,53.92,54.38,2893853
2024-11-26,54.12,54.92,53.82,54.28,2040096
2024-11-27,54.08,54.64,53.66,54.4,2403475
2024-11-28,54.4,56.02,54.4,55.44,5429229
2024-11-29,55.5,56.04,55.24,55.9,6234013
2024-12-02,56.08,57.9,55.82,57.84,3551872
2024-12-03,58,58.4,57.34,57.8,2188481
2024-12-04,57.6,59.68,57.6,59.1,2832915
2024-12-05,59.1,60.4,59.08,60.4,2978499
2024-12-06,60.5,61.08,60.18,60.98,2476921
2024-12-09,60.76,61.86,60.56,61.28,2772778
2024-12-10,60.96,61.66,60.6,61.34,2949054
2024-12-11,60.96,61.56,60.7,60.74,2279683
2024-12-12,60.7,61.58,60.7,61.34,2792218
2024-12-13,61.22,61.78,61.08,61.12,3069978
2024-12-16,61.16,61.56,60.32,60.8,1972586
